exp_component_name,alignment_id,donor_id,gender,organism,sampling_region,roi,facs_population_plan,sample_type,facs_well,facs_container,rna_amplification_set,rna_amplification,percent_cdna_longer_than_400bp,amplified_quantity_ng,library_prep_set,library_prep,avg_size_bp,quantification_fmol,batch_sent_for_sequencing,tube_sent_for_sequencing,total_reads,rsem_reads_aligned_mRNA_gDNA,rsem_percent_reads_aligned_to_mrna,rsem_percent_reads_aligned_to_genome_only,rsem_percent_reads_aligned_total,percent_reads_aligned_to_exons,percent_reads_aligned_to_rrna,percent_reads_aligned_to_trna,percent_reads_aligned_to_other_ncrna,percent_reads_aligned_to_mt_exons,percent_reads_aligned_to_mt_rrna,percent_reads_aligned_to_mt_trna,percent_reads_aligned_to_mt_other_ncrna,percent_reads_aligned_intron,percent_reads_aligned_to_ecoli,percent_reads_aligned_to_synthetic_constructs,percent_reads_aligned_total,percent_unique_reads,complexity_aatt,complexity_acgt,complexity_agct,complexity_at,complexity_catg,complexity_ccgg,complexity_cg,complexity_gatc,complexity_gc,complexity_ta,cpm.0_gene_count,cpm.1_gene_count,cpm.4_gene_count,cpm.8_gene_count,cpm.16_gene_count,cpm.32_gene_count,cpm.64_gene_count
SM-D9D73_S64_E1-50,576171099,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170201_115_H01,F1S4_170201_115,A8S4_170215_03,A8S4_170215_03_H08,0.679,3.359639274,L8S4_170302_06,L8S4_170302_06_H08,384,141.0407492,RSC-073,SM-D9D73,3091827,1963310,33.5,30,74,45.40587167,0,0,5.791656519,0.598966242,0.175139165,0.000614523,0,38.91960967,0.00341772,0.05023761,93.55656057,56.92605052,1.061713691,0.923662043,1.190361322,0.844371775,1.202008705,1.069095705,0.336109368,1.028296935,1.011655157,0.727505565,3553,2966,2680,2578,2416,2239,1962
SM-D9CZ3_S80_E1-50,571023846,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170106_023_H01,F1S4_170106_023,A8S4_170125_02,A8S4_170125_02_H10,0.535,2.790294175,L8S4_170201_06,L8S4_170201_06_H10,350,286.0250627,RSC-067,SM-D9CZ3,1995663,1071671,17.6,36.1,64.9,27.31197602,0,0,6.259323343,0.001453151,0.000300652,0,0,46.55936398,0.004407057,0.051269678,88.98531465,64.0485142,1.043429161,0.921375475,1.21430034,0.832332075,1.194558561,1.082196789,0.356087878,1.034359218,0.999722223,0.727592603,7859,4427,3784,3560,3248,2898,2437
LS-15051_S72_E1-50,517315540,H16.06.002,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160218_042_H01,F1S4_160218_042,A8S4_160401_02,A8S4_160401_02_H09,0.72,7.517420749,L8S4_160406_02,L8S4_160406_02_H09,449,158.8330346,RSC-017,LS-15051,2666720,1562697,20.9,37.7,64.8,29.75291744,0,0,4.955338393,0.002662447,0.000299994,0.000637487,0,53.58946571,0.016279174,0.001703591,90.10184796,66.53126312,1.045115166,0.936178701,1.197169518,0.842953068,1.212900157,1.075866911,0.316078788,1.026139175,0.991743771,0.73333128,5675,4898,4404,4074,3702,3216,2639
LS-15512_S80_E1-50,546501777,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160802_114_H01,F1S4_160802_114,A8S4_160810_01,A8S4_160810_01_H10,0.528,3.188603077,L8S4_160816_03,L8S4_160816_03_H10,377,120.1895471,RSC-037,LS-15512,2022712,1138787,24.6,31.7,68,33.50546197,0,0,3.828770482,0.036337353,0.036287914,0,0,43.84361194,0.029539549,0.086796341,90.14372783,53.09490427,1.047689455,0.921378062,1.183293151,0.861063537,1.193971025,1.088531693,0.350743715,1.024791775,1.001324168,0.744940791,4466,2689,2401,2284,2135,1964,1748
LS-15303_S88_E1-50,523920346,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_074_H01,F2S4_160421_074,A8S4_160512_02,A8S4_160512_02_H11,0.49,4.11484326,L8S4_160520_02,L8S4_160520_02_H11,467,36.13378293,RSC-024,LS-15303,2656958,1586204,26.7,33,67.5,36.8605375,0,0,4.868876362,0.004516443,0.004252984,0,0,48.4861635,0.020896077,0.026680512,91.92911593,57.59238573,1.053610772,0.931566713,1.182909823,0.852636035,1.210388563,1.073713339,0.309456134,1.0247069,0.991342934,0.735385831,3963,3476,3173,2982,2766,2492,2162
LS-15303_S56_E1-50,523920410,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_071_H01,F2S4_160421_071,A8S4_160512_02,A8S4_160512_02_H07,0.467,2.82869906,L8S4_160520_02,L8S4_160520_02_H07,438,65.54711368,RSC-024,LS-15303,2614565,1511219,24,33.8,65.6,33.26549541,0,0,4.544924299,0.026046398,0.000152989,0,0,50.86915032,0.021732487,0.029333752,90.96614542,52.06422483,1.051533673,0.927964286,1.187940812,0.854085919,1.212354155,1.07780772,0.311109347,1.030271861,0.984098227,0.731360112,2996,2522,2294,2168,2043,1873,1668
SM-D9D6Y_S64_E1-50,576170327,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170125_113_H01,F1S4_170125_113,A8S4_170222_04,A8S4_170222_04_H08,0.625,3.983597406,L8S4_170302_02,L8S4_170302_02_H08,474,39.73398774,RSC-073,SM-D9D6Y,2278808,1116616,17.7,31.3,60.8,27.62821616,0,0,5.154536933,0.001886951,0.000263296,0,0,52.17372416,0.002147614,0.090321782,93.73453139,58.25865979,1.055503552,0.919387012,1.19167319,0.856277844,1.193573623,1.075370228,0.334598632,1.026455299,1.013818145,0.747967088,5133,2839,2503,2355,2212,2023,1803
LS-15924_S64_E1-50,563274483,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_161123_109_H01,F2S4_161123_109,A8S4_161202_04,A8S4_161202_04_H08,0.572,2.960619195,L8S4_161208_04,L8S4_161208_04_H08,324,258.9436288,RSC-058,LS-15924,2401205,1157381,16.5,31.7,61.1,25.18868651,0,0,4.486788925,0.004914199,0.00029152,0,0,42.99662045,0.072515674,0.098323967,83.88967206,50.18557349,1.026476978,0.934556708,1.188358873,0.864965442,1.17042889,1.094682012,0.385693581,1.025931417,0.998759184,0.780697708,5601,2755,2279,2157,2026,1883,1670
LS-15397_S56_E1-50,543183830,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_088_H01,F2S4_160421_088,A8S4_160721_03,A8S4_160721_03_H02,0.536,5.378058252,L8S4_160802_04,L8S4_160802_04_H07,390,93.85899229,RSC-035,LS-15397,2561824,1309092,20.7,30.4,58.7,30.16838784,0,0,4.255639732,0.022523015,0.022171703,0,0,43.19840083,0.051937994,0.025987734,80.41071518,55.33416816,1.041949116,0.952969733,1.17565462,0.85627729,1.191294317,1.072404657,0.368594116,1.019034278,0.993012856,0.761633012,5674,3152,2668,2538,2362,2159,1864
SM-D9CY2_S80_E1-50,567504734,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_161123_122_H01,F2S4_161123_122,A8S4_170105_05,A8S4_170105_05_H10,0.466,4.432671141,L8S4_170112_01,L8S4_170112_01_H10,366,122.3833717,RSC-062,SM-D9CY2,2322300,1089159,17.7,29.2,61.6,25.37665246,0,0,3.665073419,0.04934763,0.009860914,0.001550187,0,41.93433234,0.009604702,0.140194204,83.91250054,51.75141024,1.075428896,0.928147572,1.165143418,0.845659361,1.143893823,1.077921382,0.440173301,1.010866434,1.046235348,0.761250824,5004,2741,2404,2281,2168,1984,1763
LS-15039_S32_E1-50,517321033,H16.06.002,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160218_028_H01,F1S4_160218_028,A8S4_160318_01,A8S4_160318_01_H04,0.455,3.916896956,L8S4_160323_02,L8S4_160323_02_H04,393,160.1197051,RSC-016,LS-15039,2662675,1632220,24.7,36.6,68.4,34.56539007,0,0,5.146478635,0.018440103,0.000187781,0,0,49.42702358,0.050570948,0.008517374,89.2181359,57.32361253,1.042728729,0.932502689,1.198907216,0.844534392,1.20923623,1.073341217,0.339448518,1.035648715,0.982056762,0.726837769,3019,2470,2209,2094,1977,1825,1651
LS-15051_S64_E1-50,517315556,H16.06.002,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160218_041_H01,F1S4_160218_041,A8S4_160401_02,A8S4_160401_02_H08,0.6,3.944654179,L8S4_160406_02,L8S4_160406_02_H08,437,139.2473769,RSC-017,LS-15051,2555437,1484709,23.8,34.3,66.8,36.48025758,0,0,7.076950048,0.000195661,3.91E-05,3.91E-05,0,46.69471405,0.040069859,0.003835352,89.1170473,55.56347114,1.047737195,0.936402451,1.19162024,0.84482311,1.195792733,1.070624813,0.342869293,1.028092038,0.991668373,0.741462932,3454,2796,2457,2319,2171,1941,1714
LS-15088_S08_E1-50,522928960,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_021_H01,F2S4_160421_021,A8S4_160426_01,A8S4_160426_01_H01,0.39,4.80406015,L8S4_160506_04,L8S4_160506_04_H01,407,155.2512273,RSC-022,LS-15088,2185543,1261059,19.8,37.9,64.6,29.06206833,0,0,3.988207965,0.001372657,0.000228776,0.000549063,0,54.41178691,0.028319736,0.02369434,90.4394011,61.84648392,1.036739101,0.936228189,1.18952841,0.862405937,1.208403912,1.077583505,0.295070775,1.02907722,0.974457266,0.756362867,5239,3275,2928,2764,2586,2343,2076
SM-D9D8V_S72_E1-50,583795403,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170323_119_H01,F1S4_170323_119,A8S4_170329_03,A8S4_170329_03_H09,0.562,4.523486923,L8S4_170406_04,L8S4_170406_04_H09,317,169.989573,RSC-081,SM-D9D8V,2863185,1820986,16.1,47.5,69.4,24.54783746,0,0,4.607526234,0.066464444,0.035030918,0.000349261,0,60.09800275,0.005183039,0.006403708,89.51115628,58.7290203,1.070712282,0.940349462,1.195036015,0.828835655,1.191892169,1.061371731,0.321553372,1.020711631,1.022211202,0.739219433,5317,3405,2717,2569,2411,2244,1941
LS-15088_S32_E1-50,522928911,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_023_H01,F2S4_160421_023,A8S4_160426_01,A8S4_160426_01_H04,0.621,8.296729323,L8S4_160506_04,L8S4_160506_04_H04,399,192.7557057,RSC-022,LS-15088,2006429,1187806,21.9,37.3,67.4,33.49996436,0,0,6.791917382,0.012758986,0.004983979,0,0,51.60750767,0.016168526,0.008551511,91.47216273,72.63992396,1.04257283,0.927120991,1.210521427,0.843634749,1.204526752,1.076469916,0.300598519,1.03328935,0.977837004,0.734984853,7537,5246,4747,4439,4080,3611,2871
LS-15088_S64_E1-50,522928847,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_027_H01,F2S4_160421_027,A8S4_160426_01,A8S4_160426_01_H08,0.345,3.492932331,L8S4_160506_04,L8S4_160506_04_H08,428,96.34213126,RSC-022,LS-15088,1682749,927194,35.3,19.8,63,44.72461431,0,0,4.046652234,0.025909984,0.025553425,0.00017828,0,29.19930423,0.038235649,0.041541549,83.81844232,55.2405023,1.034258067,0.931335899,1.18374452,0.857716652,1.202285014,1.067770853,0.388430486,1.031419494,0.990495222,0.724698453,5299,3537,2572,2248,2015,1741,1469
LS-15566_S72_E1-50,553544887,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160831_113_H01,F1S4_160831_113,A8S4_160920_01,A8S4_160920_01_H09,0.582,4.112945455,L8S4_160926_01,L8S4_160926_01_H09,412,188.2014902,RSC-044,LS-15566,2822714,1651288,20.4,38.1,67.1,32.50832355,0,0,7.218301252,0.10528874,0.075353011,0.000991953,0,52.83765908,0.025191713,0.006562833,92.66613621,57.4840207,1.046577575,0.928472885,1.206016388,0.843845473,1.205229266,1.080026442,0.30472032,1.029656209,0.986436878,0.738983915,3959,3305,2941,2781,2582,2316,2007
LS-15303_S24_E1-50,523920474,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_067_H01,F2S4_160421_067,A8S4_160512_02,A8S4_160512_02_H03,0.488,3.14684953,L8S4_160520_02,L8S4_160520_02_H03,396,52.28511093,RSC-024,LS-15303,2589536,1450140,22.6,33.4,64.8,32.91450669,0,0,5.134471967,0.063756596,0.063602128,0,0,47.92541984,0.036143541,0.028537545,88.20981828,51.52915426,1.04636525,0.937209508,1.18621799,0.846891214,1.200485441,1.079662295,0.342784174,1.022760527,0.988956507,0.740650508,5316,2942,2544,2393,2228,2009,1787
LS-15303_S64_E1-50,523920394,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_072_H01,F2S4_160421_072,A8S4_160512_02,A8S4_160512_02_H08,0.507,5.017758621,L8S4_160520_02,L8S4_160520_02_H08,429,38.30474563,RSC-024,LS-15303,2616621,1533340,26.1,32.5,66.8,36.92559985,0,0,5.108840753,0.057631579,0.021974906,0,0,48.88117156,0.018928228,0.021585854,91.47010591,57.62640061,1.057217212,0.931528411,1.189565239,0.842267715,1.20614005,1.074809718,0.317798838,1.027232459,0.986208653,0.7287643,4249,3742,3435,3227,2970,2663,2254
SM-D9CZN_S80_E1-50,572445994,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170118_106_H01,F1S4_170118_106,A8S4_170207_02,A8S4_170207_02_H10,0.555,3.627942857,L8S4_170213_02,L8S4_170213_02_H10,374,159.0395742,RSC-069,SM-D9CZN,2475605,1510119,27.2,33.8,67.5,36.80150913,0,0,3.8111088,0.029689712,0.016117272,0,0,43.94828739,0.004999182,0.022649009,89.90622494,53.61974144,1.057793358,0.9446952,1.187821382,0.833976926,1.203803971,1.064613288,0.340102044,1.01587464,1.015292228,0.732588115,16384,7285,3533,2808,2478,2234,1954
LS-15505_S56_E1-50,544931560,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160721_107_H01,F1S4_160721_107,A8S4_160804_01,A8S4_160804_01_H07,0.499,5.080660377,L8S4_160809_04,L8S4_160809_04_H07,426,82.18775786,RSC-036,LS-15505,2217861,1157723,22.7,29.5,65.8,32.17744484,0,0,4.498207958,0.093784056,0.061004725,0.000495973,0,43.3819793,0.027691546,0.113013394,89.93318337,53.19995257,1.053032133,0.933174088,1.171703036,0.861133233,1.174179524,1.084723629,0.374012433,1.012477924,1.018736817,0.773088751,5282,2993,2635,2545,2381,2180,1916
LS-15304_S88_E1-50,523920148,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_086_H01,F2S4_160421_086,A8S4_160516_01,A8S4_160516_01_H11,0.552,4.457565217,L8S4_160520_03,L8S4_160520_03_H11,382,13.45021974,RSC-024,LS-15304,1952428,1148028,25,33.8,66,35.69033019,0,0,4.895033261,0.058081527,0.026070103,5.12E-05,0,47.04409074,0.032080056,0.014980322,89.38869961,67.42412524,1.041576121,0.940185012,1.201837849,0.835599056,1.206776869,1.073338775,0.328777906,1.027480318,0.978214351,0.732181558,6484,3663,3241,3053,2869,2652,2325
LS-15304_S08_E1-50,523920314,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160421_076_H01,F2S4_160421_076,A8S4_160516_01,A8S4_160516_01_H01,0.543,4.712478261,L8S4_160520_03,L8S4_160520_03_H01,459,17.34656518,RSC-024,LS-15304,2377353,1286148,19.6,34.5,61.4,28.54435164,0,0,4.495630224,0.000630954,0.000294445,0,0,49.44549674,0.054899714,0.02843751,87.26331344,60.76016057,1.048085838,0.946019713,1.172294565,0.856500471,1.1907637,1.075644327,0.347111299,1.017194571,0.990602261,0.762217966,5501,3079,2712,2554,2400,2180,1883
LS-15504_S56_E1-50,544931356,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160721_104_H01,F1S4_160721_104,A8S4_160803_04,A8S4_160803_04_H07,0.594,11.84046296,L8S4_160809_03,L8S4_160809_03_H07,410,115.0612712,RSC-036,LS-15504,2268279,1247553,15.2,39.8,64.6,26.17248584,0,0,7.395474719,0.066746639,0.032800198,0.000220431,0,55.50542945,0.014550238,0.0198137,91.09355595,70.91288153,1.061918153,0.925866295,1.203920996,0.835276644,1.183789659,1.078647187,0.323891458,1.030939152,1.002794474,0.743427824,9293,6623,5931,5437,4804,3990,2925
SM-D9CYQ_S80_E1-50,570495982,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170106_011_H01,F1S4_170106_011,A8S4_170118_02,A8S4_170118_02_H10,0.46,2.579892537,L8S4_170126_01,L8S4_170126_01_H10,356,118.9808171,RSC-065,SM-D9CYQ,2135950,950498,14.1,30.4,60.9,24.59556638,0,0,7.188979143,0.000795899,0.000749081,0,0,40.67492217,0.005226246,0.118716262,86.16587467,54.95727896,1.080167111,0.914140836,1.198006673,0.821479285,1.145652574,1.069483797,0.449058856,1.026424687,1.066420523,0.733571987,7940,5068,3592,3267,3002,2690,2257
LS-15504_S64_E1-50,544931339,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160721_105_H01,F1S4_160721_105,A8S4_160803_04,A8S4_160803_04_H08,0.675,14.51296296,L8S4_160809_03,L8S4_160809_03_H08,501,38.64056735,RSC-036,LS-15504,1530265,838585,18.3,36.5,62,28.73319327,0,0,6.050259269,0.059597521,0.023002552,0.000196044,0,58.81798251,0.009935534,0.007736569,92.87306447,78.58145485,1.054670139,0.936710244,1.192680714,0.847071481,1.199081308,1.077044095,0.295438245,1.020614057,0.99748507,0.755989306,8642,7325,6515,6014,5275,4342,3130
LS-15523_S80_E1-50,549998927,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160802_116_H01,F1S4_160802_116,A8S4_160815_04,A8S4_160815_04_H10,0.672,2.717152542,L8S4_160825_02,L8S4_160825_02_H10,422,109.5629271,RSC-039,LS-15523,2011894,1090447,19.1,35.1,63.8,28.0417358,0,0,4.491737636,0.07510336,0.025796588,0,0,54.87903438,0.035690747,0.062618607,92.00266018,55.86246094,1.0480973,0.927840653,1.178516306,0.8677084,1.192443816,1.089176794,0.313275043,1.023526299,0.994048102,0.764589098,4360,2739,2483,2364,2228,2072,1828
LS-15537_S64_E1-50,550606316,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160802_142_H01,F1S4_160802_142,A8S4_160824_03,A8S4_160824_03_H08,0.58,3.303071429,L8S4_160831_04,L8S4_160831_04_H08,496,83.59970674,RSC-040,LS-15537,3172225,1601974,15,35.5,58,22.43478946,0,0,3.924185706,0.011852879,0.011380025,0,0,59.05911466,0.032080953,0.045994846,92.25423796,51.50533143,1.038803709,0.942116952,1.175921977,0.873296725,1.204640859,1.08079961,0.304924093,1.015130364,0.995262029,0.773781584,3381,2919,2632,2476,2325,2103,1830
LS-15397_S48_E1-50,543183846,H200.1025,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160526_072_H01,F1S4_160526_072,A8S4_160727_04,A8S4_160727_04_H06,0.558,4.831150568,L8S4_160802_04,L8S4_160802_04_H06,427,102.9194085,RSC-035,LS-15397,2755813,1485384,14.1,39.8,61.8,21.39005803,0,0,3.274532779,0.033565412,0.00130633,0,0,57.44598781,0.05297493,0.055717496,89.38356848,57.75074361,1.032914195,0.947903823,1.169744625,0.881726036,1.193434699,1.083817737,0.318184063,1.019313084,0.988555506,0.791073506,3758,3302,3036,2875,2677,2432,2114
LS-15928_S80_E1-50,563266280,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_161123_113_H01,F2S4_161123_113,A8S4_161205_04,A8S4_161205_04_H10,0.475,3.836754448,L8S4_161215_02,L8S4_161215_02_H10,305,289.0851771,RSC-059,LS-15928,2453394,1160455,16.6,30.7,63.7,24.61985315,0,0,3.952850622,0.000203799,0,0,0,42.12246382,0.005667251,0.151500737,85.50567092,50.56768297,1.036325101,0.92724315,1.186910821,0.86629416,1.156968881,1.081328308,0.399979621,1.028447015,1.029318788,0.783131877,6292,3123,2541,2388,2253,2064,1842
