exp_component_name,alignment_id,donor_id,gender,organism,sampling_region,roi,facs_population_plan,sample_type,facs_well,facs_container,rna_amplification_set,rna_amplification,percent_cdna_longer_than_400bp,amplified_quantity_ng,library_prep_set,library_prep,avg_size_bp,quantification_fmol,batch_sent_for_sequencing,tube_sent_for_sequencing,total_reads,rsem_reads_aligned_mRNA_gDNA,rsem_percent_reads_aligned_to_mrna,rsem_percent_reads_aligned_to_genome_only,rsem_percent_reads_aligned_total,percent_reads_aligned_to_exons,percent_reads_aligned_to_rrna,percent_reads_aligned_to_trna,percent_reads_aligned_to_other_ncrna,percent_reads_aligned_to_mt_exons,percent_reads_aligned_to_mt_rrna,percent_reads_aligned_to_mt_trna,percent_reads_aligned_to_mt_other_ncrna,percent_reads_aligned_intron,percent_reads_aligned_to_ecoli,percent_reads_aligned_to_synthetic_constructs,percent_reads_aligned_total,percent_unique_reads,complexity_aatt,complexity_acgt,complexity_agct,complexity_at,complexity_catg,complexity_ccgg,complexity_cg,complexity_gatc,complexity_gc,complexity_ta,cpm.0_gene_count,cpm.1_gene_count,cpm.4_gene_count,cpm.8_gene_count,cpm.16_gene_count,cpm.32_gene_count,cpm.64_gene_count
SM-D9CY1_S48_E1-50,567504990,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_161123_119_H01,F2S4_161123_119,A8S4_170105_04,A8S4_170105_04_H06,0.547,4.836966443,L8S4_170111_06,L8S4_170111_06_H06,348,183.8276666,RSC-062,SM-D9CY1,2998943,1436494,10.9,37,62.8,20.24069814,0,0,5.999280413,0.01613902,0.005435248,0,0,50.20815667,0.005485933,0.11545001,87.5500468,59.77862867,1.044873765,0.929391806,1.193494031,0.858975917,1.165061154,1.074888014,0.369017908,1.024011624,1.021325012,0.780197072,5658,4366,3771,3559,3284,2929,2402
SM-CZ1X2_S48_E1-50,554717823,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_160831_120_H01,F1S4_160831_120,A8S4_160930_04,A8S4_160930_04_H06,0.47,2.867161257,L8S4_161006_04,L8S4_161006_04_H06,318,119.8305533,RSC-047,SM-CZ1X2,2155290,1049410,9.59,39.1,53.2,15.43026692,0,0,2.994956595,0.010857008,0.007562787,0.000324782,0,55.62290921,0.049254161,0.009740685,80.96441778,73.63744554,1.04038273,0.955680414,1.185778365,0.848160812,1.193116285,1.061823144,0.362173478,1.02400061,0.994199897,0.758012332,8771,4688,3961,3654,3390,2996,2499
SM-D9EPS_S80_E1-50,561808652,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_161026_122_H01,F1S4_161026_122,A8S4_161110_04,A8S4_161110_04_H10,0.544,2.480555205,L8S4_161118_02,L8S4_161118_02_H10,365,165.3336279,RSC-055,SM-D9EPS,2273963,1230214,14.7,39.4,62.4,20.89669005,0,0,2.528317303,0.010290405,0.009938596,0,0,52.7216142,0.064975551,0.060426225,85.96063348,59.11466018,1.027458233,0.938288433,1.187493053,0.861559882,1.206109742,1.081766134,0.362504911,1.027507575,0.982048213,0.756232212,5969,2993,2463,2315,2188,2003,1787
SM-D9D74_S96_E1-50,576171227,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170222_049_H01,F1S4_170222_049,A8S4_170228_01,A8S4_170228_01_H12,0.392,9.615785902,L8S4_170306_01,L8S4_170306_01_H12,308,76.80243922,RSC-073,SM-D9D74,2265372,813152,7.78,28.1,42.3,8.967048238,0,0,2.089723012,0.053677718,0.032974717,0.001942286,0,32.65984571,0.015803585,0.043349613,67.74211918,67.67711881,1.07295311,0.926165614,1.167730909,0.817374029,1.153029017,1.063065254,0.511031946,1.022163381,1.0452612,0.707187135,11509,8232,6331,5717,4934,4225,3283
SM-D9CZD_S88_E1-50,572438146,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170118_104_H01,F1S4_170118_104,A8S4_170131_04,A8S4_170131_04_H11,0.483,2.133498489,L8S4_170206_04,L8S4_170206_04_H11,433,123.1345789,RSC-068,SM-D9CZD,2204896,1278840,27.4,30.6,66.2,38.77071753,0,0,5.360570294,0.000272122,0.000136061,0,0,42.77235752,0.006555865,0.032037792,89.26842808,50.41904471,1.06204172,0.943272085,1.187717609,0.83471354,1.17723057,1.065440213,0.363008338,1.017458305,1.017709108,0.748923337,4444,2477,2144,2045,1899,1737,1542
SM-D9CZ3_S40_E1-50,571023926,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_161207_119_H01,F1S4_161207_119,A8S4_170125_02,A8S4_170125_02_H05,0.448,2.734718437,L8S4_170201_06,L8S4_170201_06_H05,382,136.6940972,RSC-067,SM-D9CZ3,2287263,1205388,20.5,32.2,67,28.12899085,0,0,3.481803361,0.038605093,0.015783056,0,0,43.20854226,0.003968061,0.130625993,91.84243351,55.68858938,1.036058609,0.923034247,1.19783559,0.855057762,1.193532287,1.075635195,0.376511682,1.02709228,1.016118397,0.746234023,7253,4141,3282,2953,2645,2309,1907
SM-D9CYF_S16_E1-50,569336549,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_161102_110_H01,F1S4_161102_110,A8S4_170111_01,A8S4_170111_01_H02,0,4.764730769,L8S4_170119_02,L8S4_170119_02_H02,347,140.8069164,RSC-064,SM-D9CYF,2502946,1564966,20.4,42.1,70.1,29.82733147,0,0,5.153047649,0.004274962,0.003915386,0,0,53.94247419,0.005502316,0.023415208,90.97020072,61.07922424,1.070563107,0.928487649,1.192215805,0.834314677,1.192917931,1.065741443,0.335312717,1.027879109,1.020421142,0.730183537,3601,3003,2725,2611,2456,2262,2002
SM-D9D8V_S80_E1-50,583795387,H200.1023,F,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170323_120_H01,F1S4_170323_120,A8S4_170329_03,A8S4_170329_03_H10,0.47,3.45238091,L8S4_170406_04,L8S4_170406_04_H10,310,107.9480558,RSC-081,SM-D9D8V,2278596,1257783,15.4,39.8,62.7,23.27327881,0,0,3.704518045,0.073159086,0.070481999,0,0,48.47998504,0.009846853,0.030416537,83.64536759,51.69077801,1.083331129,0.936249622,1.189424137,0.811261855,1.164933705,1.064217955,0.409915399,1.023490636,1.038821066,0.720007523,9844,3844,2261,1978,1813,1697,1528
LS-15504_S08_E1-50,544931458,H200.1025,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F2S4_160113_053_H01,F2S4_160113_053,A8S4_160803_04,A8S4_160803_04_H01,0.432,3.966990741,L8S4_160809_03,L8S4_160809_03_H01,426,77.53553137,RSC-036,LS-15504,2236134,1236582,26.7,28.6,63,38.33473307,0,0,4.766395932,0.463523206,0.115646021,8.94E-05,0,38.71847573,0.087100773,0.013923137,86.03115913,51.06565617,1.048061622,0.942991826,1.182205493,0.842198854,1.183160864,1.071083405,0.396061624,1.031802185,0.985444789,0.738812719,4720,2506,2188,2079,1933,1789,1602
SM-D9CZU_S32_E1-50,574016351,H200.1030,M,Human,MTG,MTG_L5,NeuN-negative,Nuclei,F1S4_170118_109_H01,F1S4_170118_109,A8S4_170210_01,A8S4_170210_01_H04,0.465,4.320367448,L8S4_170216_03,L8S4_170216_03_H04,299,75.45479028,RSC-070,SM-D9CZU,1920059,808068,11.4,30.6,53.6,18.83421291,0,0,3.828371941,0.004322784,0.003749885,0.000104163,0,43.13419536,0.014463618,0.096515263,80.12701693,50.09234091,1.098423182,0.93907297,1.172665025,0.803873578,1.125552507,1.049578152,0.496885588,1.01547988,1.083716963,0.731488029,7259,4691,3237,2978,2683,2390,2031
